"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0
0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333
0,0,0,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0,0,0,0,0.142857142857143,0
0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0
0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333
0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0.142857142857143
0,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0
0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
0.142857142857143,0,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0.142857142857143
0.2,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0.2
0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0
0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0
0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0
0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0,0
0,0.2,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0
