Abbey Road,Bayswater,Bryanston and Dorset Square,Church Street,Churchill,Harrow Road,Hyde Park,Knightsbridge and Belgravia,Lancaster Gate,Little Venice,Maida Vale,Marylebone High Street,Queen's Park,Regent's Park,St. James's,Tachbrook,Vincent Square,Warwick,West End,Westbourne
1,2,12,17,48,15,15,6,8,10,2,8,8,3,145,3,3,14,149,8
3,6,7,4,50,9,10,24,8,10,6,13,5,12,103,0,2,19,98,12
2,8,4,10,45,8,6,34,16,8,3,10,10,9,130,1,3,24,119,16
2,2,4,8,25,8,12,48,23,8,6,9,3,8,169,1,3,15,92,6
0,1,17,14,33,6,6,25,19,19,4,9,13,14,248,2,8,22,211,11
1,3,20,11,52,10,9,49,40,10,5,6,19,16,188,3,6,7,140,8
2,3,25,15,29,8,11,56,47,10,7,0,6,12,163,2,8,7,183,11
1,26,19,11,6,27,18,19,45,6,7,2,33,21,126,7,7,11,177,50
4,11,4,12,23,8,14,35,32,19,6,4,7,8,190,3,2,18,176,19
5,4,11,26,11,14,8,18,33,21,10,7,20,13,173,2,4,16,186,22
5,6,23,13,20,12,9,14,27,22,10,5,12,8,141,3,3,14,133,16
1,2,10,8,29,6,4,10,4,3,4,5,9,6,110,1,1,13,114,7
2,5,5,8,26,8,13,19,10,7,5,4,12,4,156,1,4,9,122,14
4,0,7,17,7,7,5,10,29,2,3,3,10,3,142,3,6,11,118,11
2,6,20,11,42,8,7,23,21,19,8,4,1,13,153,5,3,11,93,5
4,3,11,10,8,7,12,22,15,4,3,1,8,4,111,2,3,17,82,13
2,8,9,11,20,6,7,29,37,4,4,11,5,15,129,4,3,14,97,9
0,4,8,16,22,5,2,29,26,4,4,6,3,13,66,7,3,9,52,6
3,9,10,3,64,4,7,28,29,4,4,3,2,1,158,3,8,9,105,9
0,27,12,13,151,23,10,44,17,4,9,7,26,13,123,6,5,27,70,44
1,3,5,10,34,7,2,22,23,4,6,4,7,6,127,6,5,4,87,9
1,4,5,3,20,4,6,16,19,6,3,8,3,5,67,2,4,10,50,11
2,3,3,8,32,6,6,19,11,6,2,4,1,2,92,8,2,4,79,11
0,4,7,8,27,2,7,14,12,4,6,3,1,1,137,6,6,15,60,9
4,2,9,2,25,4,4,9,11,1,2,7,23,4,104,7,4,6,114,14
2,3,14,8,34,9,9,11,15,6,4,6,5,7,77,9,7,13,51,6
1,8,20,15,24,7,4,14,16,5,2,2,3,9,71,3,5,21,87,8
0,3,17,5,89,5,14,30,15,5,4,3,1,12,117,4,5,17,68,4
1,4,9,6,74,5,6,21,12,3,7,2,1,16,69,2,8,20,34,9
7,2,9,3,41,3,11,11,8,6,5,1,4,10,91,3,7,7,53,4
2,1,20,17,26,2,13,53,15,6,5,5,1,9,126,7,4,13,95,16
0,10,14,10,67,8,8,18,13,13,8,2,12,12,92,7,5,14,93,37
3,1,10,7,9,3,11,12,15,7,3,2,2,5,114,4,1,3,81,9
3,4,11,8,21,4,7,9,19,13,3,2,3,2,104,8,6,15,90,8
1,3,4,11,22,1,9,22,17,5,3,4,3,5,110,13,6,31,85,7
3,2,5,3,14,1,1,13,21,3,5,6,5,7,98,1,3,13,88,2
2,5,19,4,21,5,2,4,13,7,1,5,3,2,72,6,7,14,54,4
2,3,4,6,12,1,5,12,21,2,1,5,2,2,78,4,3,8,49,11
2,3,4,2,22,3,4,9,13,6,2,2,3,12,114,3,5,10,55,8
2,2,4,8,25,1,4,50,6,5,1,4,1,5,55,8,8,9,42,2
1,2,4,8,27,1,5,8,4,3,1,1,3,7,52,4,6,22,42,7
3,4,3,11,38,1,2,13,3,7,0,2,6,16,71,15,5,8,39,2
0,6,7,7,18,2,8,24,4,3,0,1,6,10,52,11,6,12,41,4
3,4,7,5,28,9,9,13,6,4,2,3,11,8,64,7,8,17,45,17
1,1,5,1,40,4,5,8,5,5,1,1,3,6,38,7,6,14,55,0
