Year,count
201101,145
201102,103
201103,130
201104,169
201105,248
201106,188
201107,163
201108,126
201109,190
201110,173
201111,141
201112,110
201201,156
201202,142
201203,153
201204,111
201205,129
201206,66
201207,158
201208,123
201209,127
201210,67
201211,92
201212,137
201301,104
201302,77
201303,71
201304,117
201305,69
201306,91
201307,126
201308,92
201309,114
201310,104
201311,110
201312,98
201401,72
201402,78
201403,114
201404,55
201405,52
201406,71
201407,52
201408,64
201409,38
201410,82
201411,76
201412,62
201501,62
201502,30
201503,25
201504,33
201505,25
201506,31
201507,44
201508,43
201509,46
201510,59
201511,43
201512,30
201601,46
201602,32
201603,36
201604,29
201605,40
201606,53
201607,44
201608,47
201609,52
201610,42
201611,54
201612,34
201701,51
201702,43
201703,55
201704,60
201705,62
201706,67
201707,68
201708,62
201709,37
201710,37
201711,52
201712,56
201801,50
201802,35
201803,23
201804,25
201805,44
201806,25
201807,23
201808,24
201809,21
201810,32
201811,31
201812,37
